territory_id,territory_name,region_manager_name,region_manager_email,region_manager_phone,active_customers,total_sales,is_active
56d06f42-81d5-47a7-9c45-c4d41e109521,Southeast,Marwin Bennion,marwin.bennion@gmail.com,(520) 124-1475,20,923431.00,t
59aba40a-0c10-4a72-88e7-9dd9fba90b41,Midwest,Mickie Eplett,mickie.eplett@yahoo.com,(202) 459-6635,22,846287.00,t
4b2087a6-7f0e-4e01-8794-68b1332aa474,Southwest,Archibaldo Moncey,archibaldo.moncey@yahoo.com,(719) 673-1773,60,765343.00,t
72eda3bd-ef6b-4493-bd45-868eb3400bab,Mountain Region,Dorita Rosgen,dorita.rosgen@aol.com,(408) 365-2109,106,912965.00,t
a921e45d-862d-43b2-bcea-6976f63f2fc8,Pacific Coast,Reyna McAndie,reyna.mcandie@freenet.de,(765) 397-4546,16,906230.00,f
b7848c09-0524-4546-aaef-0748a20791d4,Northeast,Lauretta Starton,lauretta.starton@gmail.com,(830) 819-9653,97,829799.00,t
7d4dc26e-17bd-4886-b395-7bc6cbfb405e,Great Lakes,Chrissie Ferreras,chrissie.ferreras@yahoo.com,(763) 707-2918,30,660313.00,t
66bf943b-35a9-4ef1-bce5-5cfe9fd8fc85,Northwest,Johnette Penwell,johnette.penwell@verizon.net,(727) 047-3817,93,821583.00,t
72c3d2e1-9d7d-46fe-906a-6b217166c7fc,Mid-Atlantic,Elfrieda Timperley,elfrieda.timperley@yahoo.com,(410) 654-4526,119,471267.00,t
93453f6a-28eb-4915-80b0-2087debaa61a,Central,Kevin Vamplers,kevin.vamplers@gmail.com,(512) 523-3237,89,917282.00,t
f57d62e3-7a4c-4ef3-af42-b375cbceeccd,Midwest,Amargo Jeffry,amargo.jeffry@hotmail.com,(505) 923-1486,13,732995.00,f
f4ea00fa-edac-4a37-90c6-3f547507a45f,Mountain Region,De Salack,de.salack@gmail.com,(801) 271-4317,73,606341.00,f
652c20e1-6ef1-4fe4-8cbd-097064de5cec,Northeast,Cross Crunkhurn,cross.crunkhurn@gmail.com,(513) 467-7491,64,859208.00,t
c5434aa2-1099-48c6-95d5-a87827317699,Great Lakes,Matthiew Blankley,matthiew.blankley@blueyonder.co.uk,(253) 607-6848,115,365109.00,t
c0bf2f9b-5f71-46b2-a0e6-56b41a7d8850,Southwest,Gisella Done,gisella.done@aol.com,(305) 485-5348,26,940419.00,t
2ff125a9-9771-4242-9bbe-dd68cfc7f03e,Northwest,Aurthur Kemson,aurthur.kemson@hotmail.com,(405) 966-1829,66,493068.00,t
e65b0356-682a-4faa-bfd6-2f6ab3425831,Southeast,David Fantonetti,david.fantonetti@gmail.com,(513) 485-7637,30,515097.00,t
